Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q5TCS8,KAD9_HUMAN,Adenylate kinase 9 (AK 9) (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2),1911,"221,413",5 out of 5,2007-09-11,Evidence at protein level
Q14678,KANK1_HUMAN,KN motif and ankyrin repeat domain-containing protein 1 (Ankyrin repeat domain-containing protein 15) (Kidney ankyrin repeat-containing protein),1352,"147,289",5 out of 5,2003-08-29,Evidence at protein level
Q7Z3B3,KANL1_HUMAN,KAT8 regulatory NSL complex subunit 1 (MLL1/MLL complex subunit KANSL1) (MSL1 homolog 1) (hMSL1v1) (NSL complex protein NSL1) (Non-specific lethal 1 homolog),1105,"121,025",5 out of 5,2006-05-16,Evidence at protein level
P31321,KAP1_HUMAN,cAMP-dependent protein kinase type I-beta regulatory subunit,381,"43,073",5 out of 5,1993-07-01,Evidence at protein level
Q9H7Z6,KAT8_HUMAN,"Histone acetyltransferase KAT8 (EC 2.3.1.48) (Lysine acetyltransferase 8) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1) (MYST-1) (hMOF)",458,"52,403",5 out of 5,2005-07-05,Evidence at protein level
F8WCM5,INSR2_HUMAN,"Insulin, isoform 2 (INS-IGF2 readthrough transcript protein)",200,"21,537",2 out of 5,2013-06-26,Evidence at transcript level
Q9Y2B9,IPKG_HUMAN,cAMP-dependent protein kinase inhibitor gamma (PKI-gamma),76,"7,910",2 out of 5,2000-05-30,Evidence at transcript level
Q8IWB1,IPRI_HUMAN,"Inositol 1,4,5-trisphosphate receptor-interacting protein (Protein DANGER)",547,"62,060",4 out of 5,2007-07-10,Evidence at protein level
P05154,IPSP_HUMAN,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),406,"45,675",5 out of 5,1987-08-13,Evidence at protein level
Q9H2U2,IPYR2_HUMAN,"Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphatase SID6-306) (Pyrophosphate phospho-hydrolase 2) (PPase 2)",334,"37,920",5 out of 5,2004-09-27,Evidence at protein level
Q86XH1,IQCA1_HUMAN,IQ and AAA domain-containing protein 1,822,"95,341",3 out of 5,2007-04-03,Evidence at transcript level
Q86VI3,IQGA3_HUMAN,Ras GTPase-activating-like protein IQGAP3,1631,"184,699",4 out of 5,2004-06-21,Evidence at protein level
Q9NWZ3,IRAK4_HUMAN,Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64),460,"51,530",5 out of 5,2004-07-19,Evidence at protein level
Q8WZA9,IRGQ_HUMAN,Immunity-related GTPase family Q protein,623,"62,717",2 out of 5,2006-12-12,Evidence at protein level
Q9Y4H2,IRS2_HUMAN,Insulin receptor substrate 2 (IRS-2),1338,"137,334",5 out of 5,2000-05-30,Evidence at protein level
P78411,IRX5_HUMAN,Iroquois-class homeodomain protein IRX-5 (Homeodomain protein IRX-2A) (Homeodomain protein IRXB2) (Iroquois homeobox protein 5),483,"50,361",5 out of 5,1998-07-15,Evidence at protein level
B1AKI9,ISM1_HUMAN,Isthmin-1,464,"52,107",3 out of 5,2008-09-02,Evidence at transcript level
Q96AB3,ISOC2_HUMAN,Isochorismatase domain-containing protein 2,205,"22,337",4 out of 5,2006-12-12,Evidence at protein level
Q6PHW0,IYD1_HUMAN,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),289,"33,360",5 out of 5,2006-04-04,Evidence at protein level
Q1ZYL8,IZUM4_HUMAN,Izumo sperm-egg fusion protein 4 (Sperm 22 kDa protein c113),232,"26,510",3 out of 5,2007-02-20,Evidence at transcript level
Q6IE81,JADE1_HUMAN,Protein Jade-1 (Jade family PHD finger protein 1) (PHD finger protein 17),842,"95,533",5 out of 5,2006-10-17,Evidence at protein level
P78504,JAG1_HUMAN,Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339),1218,"133,799",5 out of 5,2002-05-02,Evidence at protein level
P23458,JAK1_HUMAN,Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1),1154,"133,277",5 out of 5,1991-11-01,Evidence at protein level
O60674,JAK2_HUMAN,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),1132,"130,674",5 out of 5,1998-12-15,Evidence at protein level
Q9Y624,JAM1_HUMAN,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321),299,"32,583",5 out of 5,2000-12-01,Evidence at protein level
Q13387,JIP2_HUMAN,C-Jun-amino-terminal kinase-interacting protein 2 (JIP-2) (JNK-interacting protein 2) (Islet-brain-2) (IB-2) (JNK MAP kinase scaffold protein 2) (Mitogen-activated protein kinase 8-interacting protein 2),824,"87,975",5 out of 5,2001-12-05,Evidence at protein level
Q6ZU35,K1211_HUMAN,Uncharacterized protein KIAA1211,1233,"136,760",2 out of 5,2008-07-01,Evidence at protein level
Q9P206,K1522_HUMAN,Uncharacterized protein KIAA1522,1035,"107,095",3 out of 5,2007-11-13,Evidence at protein level
Q3SXP7,K1644_HUMAN,Uncharacterized protein KIAA1644,199,"22,573",2 out of 5,2008-02-26,Evidence at transcript level
Q9H0B3,K1683_HUMAN,Uncharacterized protein KIAA1683,1180,"127,693",5 out of 5,2005-08-30,Evidence at protein level
Q01546,K22O_HUMAN,"Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)",638,"65,841",5 out of 5,1994-06-01,Evidence at protein level
P19013,K2C4_HUMAN,"Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)",534,"57,285",5 out of 5,1990-11-01,Evidence at protein level
P13647,K2C5_HUMAN,"Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)",590,"62,378",5 out of 5,1990-01-01,Evidence at protein level
P54819,KAD2_HUMAN,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]",239,"26,478",5 out of 5,1996-10-01,Evidence at protein level
Q9UIJ7,KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)",227,"25,565",5 out of 5,2000-12-01,Evidence at protein level
Q9Y6K8,KAD5_HUMAN,Adenylate kinase isoenzyme 5 (AK 5) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 5),562,"63,333",5 out of 5,2000-12-01,Evidence at protein level
P58166,INHBE_HUMAN,Inhibin beta E chain (Activin beta-E chain),350,"38,561",4 out of 5,2001-06-01,Evidence at protein level
O15327,INP4B_HUMAN,"Type II inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66) (Inositol polyphosphate 4-phosphatase type II)",924,"104,738",5 out of 5,2005-08-30,Evidence at transcript level
Q9NRR6,INP5E_HUMAN,"72 kDa inositol polyphosphate 5-phosphatase (EC 3.1.3.36) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (Phosphatidylinositol polyphosphate 5-phosphatase type IV)",644,"70,205",5 out of 5,2004-03-29,Evidence at protein level
P49441,INPP_HUMAN,Inositol polyphosphate 1-phosphatase (IPP) (IPPase) (EC 3.1.3.57),399,"43,998",5 out of 5,1996-02-01,Evidence at protein level
P55073,IOD3_HUMAN,Thyroxine 5-deiodinase (EC 1.21.99.3) (5DIII) (DIOIII) (Type 3 DI) (Type III iodothyronine deiodinase),304,"33,947",5 out of 5,1996-10-01,Evidence at protein level
Q9UI26,IPO11_HUMAN,Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11),975,"112,535",5 out of 5,2004-07-19,Evidence at protein level
O94829,IPO13_HUMAN,Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13),963,"108,195",5 out of 5,2004-07-19,Evidence at protein level
Q6NXS1,IPP2M_HUMAN,"Protein phosphatase inhibitor 2-like protein 3 (Protein phosphatase 1, regulatory subunit 2 pseudogene 3)",205,"23,048",4 out of 5,2007-05-01,Evidence at protein level
O14990,IPP4_HUMAN,"Putative type-1 protein phosphatase inhibitor 4 (I-4) (Protein phosphatase 1, regulatory subunit 2 pseudogene 9)",202,"22,660",2 out of 5,2004-08-16,Evidence at protein level
Q96DY2,IQCD_HUMAN,IQ domain-containing protein D,449,"52,359",2 out of 5,2007-04-03,Evidence at transcript level
A8MYZ5,IQCF6_HUMAN,IQ domain-containing protein F6,107,"13,059",1 out of 5,2008-07-01,Predicted
Q5JU85,IQEC2_HUMAN,IQ motif and SEC7 domain-containing protein 2,1478,"161,736",4 out of 5,2006-07-11,Evidence at protein level
P78412,IRX6_HUMAN,Iroquois-class homeodomain protein IRX-6 (Homeodomain protein IRXB3) (Iroquois homeobox protein 6),446,"48,240",2 out of 5,1998-07-15,Evidence at transcript level
Q86U28,ISCA2_HUMAN,"Iron-sulfur cluster assembly 2 homolog, mitochondrial (HESB-like domain-containing protein 1)",154,"16,476",4 out of 5,2007-02-06,Evidence at protein level
P20155,ISK2_HUMAN,Serine protease inhibitor Kazal-type 2 (Acrosin-trypsin inhibitor) (Epididymis tissue protein Li 172) (HUSI-II),84,"9,291",5 out of 5,1991-02-01,Evidence at protein level
Q5DT21,ISK9_HUMAN,Serine protease inhibitor Kazal-type 9 (Lymphoepithelial Kazal-type-related inhibitor 2),86,"9,756",4 out of 5,2008-05-20,Evidence at protein level
A4D126,ISPD_HUMAN,Isoprenoid synthase domain-containing protein (EC 2.7.7.-) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein),451,"49,873",5 out of 5,2008-07-22,Evidence at protein level
Q2M1V0,ISX_HUMAN,Intestine-specific homeobox (RAX-like homeobox),245,"27,011",3 out of 5,2007-05-29,Evidence at transcript level
Q9UKX5,ITA11_HUMAN,Integrin alpha-11,1188,"133,470",5 out of 5,2000-12-01,Evidence at protein level
P56199,ITA1_HUMAN,Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a),1179,"130,848",5 out of 5,1997-11-01,Evidence at protein level
P08514,ITA2B_HUMAN,"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]",1039,"113,377",5 out of 5,1988-08-01,Evidence at protein level
Q13683,ITA7_HUMAN,Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain; Integrin alpha-7 70 kDa form],1181,"128,948",5 out of 5,2000-12-01,Evidence at protein level
Q13797,ITA9_HUMAN,Integrin alpha-9 (Integrin alpha-RLC),1035,"114,489",5 out of 5,1997-11-01,Evidence at protein level
P38570,ITAE_HUMAN,Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain],1179,"130,159",5 out of 5,1994-10-01,Evidence at protein level
P11215,ITAM_HUMAN,Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b),1152,"127,179",5 out of 5,1989-07-01,Evidence at protein level
P20702,ITAX_HUMAN,"Integrin alpha-X (CD11 antigen-like family member C) (Leu M5) (Leukocyte adhesion glycoprotein p150,95 alpha chain) (Leukocyte adhesion receptor p150,95) (CD antigen CD11c)",1163,"127,829",5 out of 5,1991-02-01,Evidence at protein level
O14713,ITBP1_HUMAN,Integrin beta-1-binding protein 1 (Integrin cytoplasmic domain-associated protein 1) (ICAP-1),200,"21,782",5 out of 5,2001-11-16,Evidence at protein level
P19823,ITIH2_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP),946,"106,463",5 out of 5,1991-02-01,Evidence at protein level
Q14624,ITIH4_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (Gp120) (PK-120) [Cleaved into: 70 kDa inter-alpha-trypsin inhibitor heavy chain H4; 35 kDa inter-alpha-trypsin inhibitor heavy chain H4],930,"103,357",5 out of 5,1998-07-15,Evidence at protein level
O43736,ITM2A_HUMAN,Integral membrane protein 2A (Protein E25),263,"29,741",3 out of 5,1999-07-15,Evidence at protein level
Q15811,ITSN1_HUMAN,Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17),1721,"195,422",5 out of 5,1997-11-01,Evidence at protein level
Q08881,ITK_HUMAN,Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk),620,"71,831",5 out of 5,1994-10-01,Evidence at protein level
Q8WWU7,ITLN2_HUMAN,Intelectin-2 (Endothelial lectin HL-2),325,"36,212",3 out of 5,2004-11-23,Evidence at transcript level
Q14573,ITPR3_HUMAN,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",2671,"304,106",5 out of 5,2001-11-02,Evidence at protein level
Q9NZM3,ITSN2_HUMAN,Intersectin-2 (SH3 domain-containing protein 1B) (SH3P18) (SH3P18-like WASP-associated protein),1697,"193,461",5 out of 5,2002-04-03,Evidence at protein level
Q8N5M9,JAGN1_HUMAN,Protein jagunal homolog 1,183,"21,125",5 out of 5,2008-01-15,Evidence at protein level
A6ND01,JUNO_HUMAN,Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO),250,"28,672",5 out of 5,2008-05-20,Evidence at protein level
Q14667,K0100_HUMAN,Protein KIAA0100 (Antigen MLAA-22) (Breast cancer-overexpressed gene 1 protein),2235,"253,700",4 out of 5,2006-09-05,Evidence at protein level
Q9ULG3,K1257_HUMAN,Uncharacterized protein KIAA1257,409,"46,740",2 out of 5,2008-02-26,Evidence at transcript level
Q6UXG2,K1324_HUMAN,UPF0577 protein KIAA1324 (Estrogen-induced gene 121 protein),1013,"111,382",5 out of 5,2007-05-15,Evidence at transcript level
Q9HCM3,K1549_HUMAN,UPF0606 protein KIAA1549,1950,"210,755",4 out of 5,2008-07-01,Evidence at protein level
Q6NSI8,K1841_HUMAN,Uncharacterized protein KIAA1841,718,"82,007",2 out of 5,2008-03-18,Evidence at transcript level
P13646,K1C13_HUMAN,"Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)",458,"49,588",5 out of 5,1990-01-01,Evidence at protein level
P02533,K1C14_HUMAN,"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)",472,"51,561",5 out of 5,1986-07-21,Evidence at protein level
P05783,K1C18_HUMAN,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",430,"48,058",5 out of 5,1988-11-01,Evidence at protein level
Q9C075,K1C23_HUMAN,"Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)",422,"48,131",3 out of 5,2001-08-29,Evidence at protein level
Q6A163,K1C39_HUMAN,"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)",491,"55,651",5 out of 5,2008-01-15,Evidence at protein level
Q7Z794,K2C1B_HUMAN,"Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)",578,"61,901",5 out of 5,2005-05-24,Evidence at transcript level
Q5XKE5,K2C79_HUMAN,"Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)",535,"57,836",5 out of 5,2008-01-15,Evidence at protein level
P05787,K2C8_HUMAN,"Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)",483,"53,704",5 out of 5,1988-11-01,Evidence at protein level
O75600,KBL_HUMAN,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial (AKB ligase) (EC 2.3.1.29) (Aminoacetone synthase) (Glycine acetyltransferase)",419,"45,285",5 out of 5,2000-05-30,Evidence at protein level
Q3ZCT8,KBTBC_HUMAN,Kelch repeat and BTB domain-containing protein 12 (Kelch domain-containing protein 6),623,"71,096",2 out of 5,2008-03-18,Evidence at transcript level
P48729,KC1A_HUMAN,Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1),337,"38,915",5 out of 5,1996-02-01,Evidence at protein level
P49674,KC1E_HUMAN,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),416,"47,315",5 out of 5,1996-02-01,Evidence at protein level
Q14012,KCC1A_HUMAN,Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),370,"41,337",5 out of 5,1998-07-15,Evidence at protein level
Q693B1,KCD11_HUMAN,BTB/POZ domain-containing protein KCTD11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase KCTD11),232,"25,887",5 out of 5,2006-09-05,Evidence at protein level
Q6PI47,KCD18_HUMAN,BTB/POZ domain-containing protein KCTD18,426,"46,739",2 out of 5,2006-09-05,Evidence at transcript level
Q4G0X4,KCD21_HUMAN,BTB/POZ domain-containing protein KCTD21,260,"29,643",2 out of 5,2007-03-20,Evidence at protein level
Q14500,KCJ12_HUMAN,"ATP-sensitive inward rectifier potassium channel 12 (Inward rectifier K(+) channel Kir2.2) (IRK-2) (Inward rectifier K(+) channel Kir2.2v) (Potassium channel, inwardly rectifying subfamily J member 12)",433,"49,001",5 out of 5,1997-11-01,Evidence at protein level
Q9UNX9,KCJ14_HUMAN,"ATP-sensitive inward rectifier potassium channel 14 (Inward rectifier K(+) channel Kir2.4) (IRK-4) (Potassium channel, inwardly rectifying subfamily J member 14)",436,"47,846",4 out of 5,2004-10-11,Evidence at protein level
B7U540,KCJ18_HUMAN,"Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)",433,"48,880",5 out of 5,2010-07-13,Evidence at protein level
Q12791,KCMA1_HUMAN,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)",1236,"137,560",5 out of 5,2004-04-13,Evidence at protein level
Q9NPA1,KCMB3_HUMAN,"Calcium-activated potassium channel subunit beta-3 (BK channel subunit beta-3) (BKbeta3) (Hbeta3) (Calcium-activated potassium channel, subfamily M subunit beta-3) (Charybdotoxin receptor subunit beta-3) (K(VCA)beta-3) (Maxi K channel subunit beta-3) (Slo-beta-3)",279,"31,604",5 out of 5,2004-04-13,Evidence at protein level
P22460,KCNA5_HUMAN,Potassium voltage-gated channel subfamily A member 5 (HPCN1) (Voltage-gated potassium channel HK2) (Voltage-gated potassium channel subunit Kv1.5),613,"67,228",5 out of 5,1991-08-01,Evidence at protein level
Q8TDN1,KCNG4_HUMAN,Potassium voltage-gated channel subfamily G member 4 (Voltage-gated potassium channel subunit Kv6.4),519,"58,979",5 out of 5,2002-11-28,Evidence at protein level
Q9ULD8,KCNH3_HUMAN,Potassium voltage-gated channel subfamily H member 3 (Brain-specific eag-like channel 1) (BEC1) (Ether-a-go-go-like potassium channel 2) (ELK channel 2) (ELK2) (Voltage-gated potassium channel subunit Kv12.2),1083,"117,129",5 out of 5,2002-11-28,Evidence at protein level
Q9H252,KCNH6_HUMAN,Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (hERG-2) (hERG2) (Voltage-gated potassium channel subunit Kv11.2),994,"109,925",5 out of 5,2002-11-28,Evidence at protein level
Q9NYG8,KCNK4_HUMAN,Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (Two pore K(+) channel KT4.1),393,"42,704",5 out of 5,2001-02-21,Evidence at protein level
Q9H427,KCNKF_HUMAN,Potassium channel subfamily K member 15 (Acid-sensitive potassium channel protein TASK-5) (TWIK-related acid-sensitive K(+) channel 5) (Two pore potassium channel KT3.3) (Two pore K(+) channel KT3.3),330,"36,130",5 out of 5,2002-11-01,Evidence at protein level
Q96T54,KCNKH_HUMAN,Potassium channel subfamily K member 17 (2P domain potassium channel Talk-2) (Acid-sensitive potassium channel protein TASK-4) (TWIK-related acid-sensitive K(+) channel 4) (TWIK-related alkaline pH-activated K(+) channel 2) (TALK-2),332,"36,895",5 out of 5,2002-11-01,Evidence at transcript level
O15554,KCNN4_HUMAN,Intermediate conductance calcium-activated potassium channel protein 4 (SK4) (SKCa 4) (SKCa4) (IKCa1) (IK1) (KCa3.1) (KCa4) (Putative Gardos channel),427,"47,696",5 out of 5,2001-11-16,Evidence at protein level
P51787,KCNQ1_HUMAN,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1),676,"74,699",5 out of 5,1996-10-01,Evidence at protein level
Q9H478,KCQ1D_HUMAN,KCNQ1 downstream neighbor protein (Beckwith-Wiedemann region transcript protein),68,"7,384",1 out of 5,2005-12-06,Evidence at transcript level
P12277,KCRB_HUMAN,Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain),381,"42,644",5 out of 5,1989-10-01,Evidence at protein level
P17540,KCRS_HUMAN,"Creatine kinase S-type, mitochondrial (EC 2.7.3.2) (Basic-type mitochondrial creatine kinase) (Mib-CK) (Sarcomeric mitochondrial creatine kinase) (S-MtCK)",419,"47,504",5 out of 5,1990-08-01,Evidence at protein level
Q8NC54,KCT2_HUMAN,Keratinocyte-associated transmembrane protein 2,265,"29,235",2 out of 5,2005-07-05,Evidence at protein level
Q8NC69,KCTD6_HUMAN,BTB/POZ domain-containing protein KCTD6,237,"27,610",5 out of 5,2006-10-03,Evidence at protein level
Q7LBC6,KDM3B_HUMAN,Lysine-specific demethylase 3B (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA),1761,"191,581",5 out of 5,2006-05-16,Evidence at protein level
Q6H9L7,ISM2_HUMAN,Isthmin-2 (Thrombospondin and AMOP domain-containing isthmin-like protein 1) (Thrombospondin type-1 domain-containing protein 3),571,"63,906",4 out of 5,2007-10-23,Evidence at transcript level
Q6UXV1,IZUM2_HUMAN,Izumo sperm-egg fusion protein 2,221,"24,856",3 out of 5,2007-07-24,Evidence at transcript level
P52333,JAK3_HUMAN,Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK),1124,"125,099",5 out of 5,1996-10-01,Evidence at protein level
Q9Y4A0,JERKL_HUMAN,Jerky protein homolog-like (Human homolog of mouse jerky gene protein) (HHMJG),524,"59,912",3 out of 5,2002-12-06,Evidence at transcript level
Q9UQF2,JIP1_HUMAN,C-Jun-amino-terminal kinase-interacting protein 1 (JIP-1) (JNK-interacting protein 1) (Islet-brain 1) (IB-1) (JNK MAP kinase scaffold protein 1) (Mitogen-activated protein kinase 8-interacting protein 1),711,"77,524",5 out of 5,2001-12-05,Evidence at protein level
O60271,JIP4_HUMAN,C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1),1321,"146,205",5 out of 5,2006-05-02,Evidence at protein level
Q96N16,JKIP1_HUMAN,Janus kinase and microtubule-interacting protein 1 (GABA-B receptor-binding protein) (Multiple alpha-helices and RNA-linker protein 1) (Marlin-1),626,"73,209",5 out of 5,2008-03-18,Evidence at protein level
Q8TAC2,JOS2_HUMAN,Josephin-2 (EC 3.4.19.12) (Josephin domain-containing protein 2),188,"20,756",4 out of 5,2003-02-28,Evidence at protein level
P17535,JUND_HUMAN,Transcription factor jun-D,347,"35,174",5 out of 5,1990-08-01,Evidence at protein level
Q15053,K0040_HUMAN,Uncharacterized protein KIAA0040,153,"17,035",2 out of 5,1998-07-15,Evidence at protein level
Q6ZU52,K0408_HUMAN,Uncharacterized protein KIAA0408,694,"79,163",2 out of 5,2006-07-25,Evidence at protein level
Q8NCT3,K0895_HUMAN,Uncharacterized protein KIAA0895,520,"60,525",2 out of 5,2008-02-26,Evidence at transcript level
Q8WYB5,KAT6B_HUMAN,"Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)",2073,"231,378",5 out of 5,2005-07-05,Evidence at protein level
Q9NYS0,KBRS1_HUMAN,NF-kappa-B inhibitor-interacting Ras-like protein 1 (I-kappa-B-interacting Ras-like protein 1) (Kappa B-Ras protein 1) (KappaB-Ras1),192,"21,643",4 out of 5,2006-03-07,Evidence at protein level
Q96SI1,KCD15_HUMAN,BTB/POZ domain-containing protein KCTD15 (Potassium channel tetramerization domain-containing protein 15),283,"31,942",4 out of 5,2006-07-25,Evidence at protein level
A0A087WTH5,KCE1B_HUMAN,Potassium voltage-gated channel subfamily E member 1B,132,"15,028",2 out of 5,2016-04-13,Inferred from homology
Q99712,KCJ15_HUMAN,"ATP-sensitive inward rectifier potassium channel 15 (Inward rectifier K(+) channel Kir1.3) (Inward rectifier K(+) channel Kir4.2) (Potassium channel, inwardly rectifying subfamily J member 15)",375,"42,577",5 out of 5,1997-11-01,Evidence at protein level
Q9NPI9,KCJ16_HUMAN,"Inward rectifier potassium channel 16 (Inward rectifier K(+) channel Kir5.1) (Potassium channel, inwardly rectifying subfamily J member 16)",418,"47,949",4 out of 5,2001-04-27,Evidence at protein level
